source_address,stay_seg,stayWiFi_start,stayWiFi_end,stayWiFi_x,stayWiFi_y,n_windows,sensor_name,stayWiFi_duration,id_stayWiFi,matched
50:77:05:bc:73:a0,110,2019-10-25T16:14:00Z,2019-10-25T16:17:00Z,398694.860901796,332932.071264492,8,sensor_bus_station,180,207,FALSE
50:77:05:bc:73:a0,186,2019-10-29T16:43:20Z,2019-10-29T16:47:40Z,398694.860901796,332932.071264492,12,sensor_bus_station,260,208,FALSE
50:77:05:bc:73:a0,187,2019-10-29T16:52:00Z,2019-10-29T16:56:40Z,398694.860901796,332932.071264492,13,sensor_bus_station,280,209,FALSE
50:77:05:bc:73:a0,248,2019-10-30T16:52:00Z,2019-10-30T16:56:20Z,398694.860901796,332932.071264492,13,sensor_bus_station,260,210,FALSE
50:77:05:bc:73:a0,266,2019-10-31T11:37:40Z,2019-10-31T11:40:40Z,398694.860901796,332932.071264492,6,sensor_bus_station,180,211,FALSE
50:77:05:bc:73:a0,295,2019-10-31T17:37:20Z,2019-10-31T17:41:00Z,398694.860901796,332932.071264492,10,sensor_bus_station,220,212,FALSE
50:77:05:bc:73:a0,359,2019-11-04T17:05:40Z,2019-11-04T17:09:40Z,398249.183444569,333246.955554579,9,sensor_parking_dorm,240,213,FALSE
50:77:05:bc:73:a0,405,2019-11-05T17:36:20Z,2019-11-05T17:41:00Z,398694.860901796,332932.071264492,13,sensor_bus_station,280,215,FALSE
50:77:05:bc:73:a0,458,2019-11-06T19:33:40Z,2019-11-06T19:36:40Z,398409.881202589,333224.610229559,5,sensor_cafeteria_dorm_side,180,217,FALSE
50:77:05:bc:73:a0,483,2019-11-07T16:48:20Z,2019-11-07T16:51:40Z,398694.860901796,332932.071264492,10,sensor_bus_station,200,218,FALSE
50:77:05:bc:73:a0,623,2019-11-11T21:37:00Z,2019-11-11T21:40:00Z,398439.932439304,333169.881568267,6,sensor_gym_front,180,224,FALSE
50:77:05:bc:73:a0,666,2019-11-12T17:41:00Z,2019-11-12T17:47:00Z,398694.860901796,332932.071264492,18,sensor_bus_station,360,225,FALSE
50:77:05:bc:73:a0,743,2019-11-14T17:37:40Z,2019-11-14T17:41:00Z,398694.860901796,332932.071264492,9,sensor_bus_station,200,226,FALSE
64:7b:ce:01:b5:04,3,2019-10-23T15:10:20Z,2019-10-23T15:14:00Z,398263.219454065,332676.515731432,7,sensor_112_side,220,227,FALSE
64:7b:ce:21:28:7a,20,2019-10-25T00:18:40Z,2019-10-25T00:21:40Z,398442.435245869,333014.707561133,7,sensor_203_front,180,228,FALSE
64:7b:ce:21:28:7a,170,2019-11-05T00:53:20Z,2019-11-05T00:56:40Z,398330.524037958,333242.820502496,9,sensor_dorm_front,200,229,FALSE
64:7b:ce:21:28:7a,221,2019-11-06T13:29:20Z,2019-11-06T13:32:20Z,398569.005749386,333153.077009889,9,sensor_parking_sport,180,230,FALSE
64:7b:ce:21:28:7a,260,2019-11-07T18:51:40Z,2019-11-07T18:56:00Z,398694.860901796,332932.071264492,8,sensor_bus_station,260,231,FALSE
64:7b:ce:21:28:7a,343,2019-11-11T19:52:00Z,2019-11-11T19:56:20Z,398442.435245869,333014.707561133,5,sensor_203_front,260,232,FALSE
64:7b:ce:3a:af:36,13,2019-10-21T21:49:00Z,2019-10-21T21:53:00Z,398330.524037958,333242.820502496,7,sensor_dorm_front,240,234,FALSE
64:7b:ce:3a:af:36,75,2019-10-24T09:40:40Z,2019-10-24T09:43:40Z,398694.860901796,332932.071264492,9,sensor_bus_station,180,236,FALSE
64:7b:ce:3a:af:36,462,2019-11-05T18:57:20Z,2019-11-05T19:01:00Z,398694.860901796,332932.071264492,11,sensor_bus_station,220,238,FALSE
64:7b:ce:3a:af:36,587,2019-11-11T17:24:40Z,2019-11-11T17:27:40Z,398442.435245869,333014.707561133,7,sensor_203_front,180,239,FALSE
64:7b:ce:3a:af:36,610,2019-11-11T18:51:00Z,2019-11-11T18:54:40Z,398694.860901796,332932.071264492,9,sensor_bus_station,220,240,FALSE
64:7b:ce:4a:d7:52,98,2019-10-22T22:25:00Z,2019-10-22T22:28:20Z,398694.860901796,332932.071264492,8,sensor_bus_station,200,241,FALSE
64:7b:ce:4a:d7:52,204,2019-10-29T17:33:00Z,2019-10-29T17:36:00Z,398442.435245869,333014.707561133,7,sensor_203_front,180,242,FALSE
64:7b:ce:4a:d7:52,207,2019-10-29T17:39:00Z,2019-10-29T17:46:00Z,398630.282400965,333061.079076782,15,sensor_football_field_front,420,243,FALSE
