id_stayGPS,source_address,nm_prsn,stayGPS_start,stayGPS_end,stayGPS_x,stayGPS_y,stayGPS_duration,matched,wifi_id,spatial_dist,time_overlap,dist_to_nearest_sensor,nearest_sensor,dist_cat
227,6c:e8:5c:cd:6f:8c,P039,2019-11-08T16:39:51Z,2019-11-08T16:43:01Z,398650.210473469,332934.393641515,190,FALSE,,,,44.7107837644827,sensor_bus_station,30-50m
228,6c:e8:5c:cd:6f:8c,P039,2019-11-10T13:31:56Z,2019-11-10T13:35:51Z,398309.588670689,333265.246808025,235,FALSE,,,,30.6794521195324,sensor_dorm_front,30-50m
229,6c:e8:5c:cd:6f:8c,P039,2019-11-13T19:35:18Z,2019-11-13T19:39:53Z,398719.182024469,332919.21584484,275,FALSE,,,,27.5096132742966,sensor_bus_station,<30m
230,6c:e8:5c:cd:6f:8c,P039,2019-11-14T23:00:04Z,2019-11-14T23:03:14Z,398309.395934313,333268.511730251,190,FALSE,,,,33.2631319508132,sensor_dorm_front,30-50m
232,6c:e8:5c:d8:f0:9d,P044,2019-10-21T20:12:58Z,2019-10-21T20:16:43Z,398357.670403806,333007.365993256,225,FALSE,,,,39.872105260665,sensor_btw_TMB_library,30-50m
233,6c:e8:5c:d8:f0:9d,P044,2019-10-24T11:19:45Z,2019-10-24T11:24:20Z,398362.743575861,333007.406604392,275,FALSE,,,,42.4699052043642,sensor_btw_TMB_library,30-50m
234,6c:e8:5c:d8:f0:9d,P044,2019-11-12T10:33:54Z,2019-11-12T10:37:44Z,398534.510023331,332901.795098615,230,FALSE,,,,41.6764790479184,sensor_btw_201_102,30-50m
238,70:70:0d:d9:32:42,P014,2019-10-23T17:52:39Z,2019-10-23T17:58:39Z,398336.003316146,333230.581728844,360,FALSE,,,,13.4093277226949,sensor_dorm_front,<30m
240,70:70:0d:d9:32:42,P014,2019-11-04T15:23:40Z,2019-11-04T15:29:55Z,398428.088805442,333011.662835041,375,FALSE,,,,14.6659711546415,sensor_203_front,<30m
241,70:70:0d:d9:32:42,P014,2019-11-04T17:25:40Z,2019-11-04T17:52:20Z,398519.786300288,332887.701251178,1600,FALSE,,,,48.027619301447,sensor_lake,30-50m
